Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Wise Man's Fear,Patrick Rothfuss,"",9780756404734,hardcover,read,2015/08/09,2016/05/31,2016/05/31,1,"",,,,,,,4.0,,"",,"fantasy, favorites",No
Dance Dance Dance,Haruki Murakami,Alfred Birnbaum (Translator),9780679753797,paperback,to-read,2022/01/19,"","",0,"",,,,,,,,,"",,"",Yes
The Future We Choose: Surviving the Climate Crisis,"Christiana Figueres, Tom Rivett-Carnac","",9780525658351,hardcover,to-read,2021/03/30,"","",0,"",,,,,,,,,"",,"",No
Exit Management,Naomi Booth,"",9781911585701,paperback,to-read,2022/03/28,"","",0,"",,,,,,,,,"",,"",No
Asleep,Banana Yoshimoto,Michael Emmerich,9780571205370,paperback,to-read,2022/12/31,"","",0,"",,,,,,,,,"",,"",No
The Handmaid's Tale,Margaret Atwood,"",9780307264602,hardcover,read,2016/12/02,2017/01/12,2017/01/12,1,"",,,,,,,4.0,,"",,"literary-fiction, classics",No
The Wind-Up Bird Chronicle,Haruki Murakami,Jay Rubin,9780965341981,paperback,to-read,2022/01/19,"","",0,"",,,,,,,,,"",,"",Yes
Blood of Dragons,Robin Hobb,"",9780062116871,digital,to-read,2017/03/04,"","",0,"",,,,,,,,,"",,"",No
Dark Tourist: Essays,Hasanthika Sirisena,"",9780814258125,paperback,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,"",9780805092998,hardcover,to-read,2018/06/02,"","",0,"",,,,,,,,,"",,non-fiction,No
A Game of Thrones,George R.R. Martin,"",9780553588484,paperback,read,2015/01/06,"","",2,"",,,,,,,4.0,,"",,fantasy,Yes
The Dud Avocado,Elaine Dundy,Terry Teachout (Contributor),9781590172322,paperback,to-read,2022/07/13,"","",0,"",,,,,,,,,"",,"",No
Blood of Elves,Andrzej Sapkowski,"",9780316029193,paperback,to-read,2015/07/19,"","",0,"",,,,,,,,,"",,fantasy,No
The Hunger Games,Suzanne Collins,"",9780439023481,hardcover,read,2015/08/12,"","",1,"",,,,,,,4.0,,"",,fantasy,Yes
Mockingjay,Suzanne Collins,"",9780439023511,hardcover,read,2015/08/12,"","",1,"",,,,,,,2.0,,"",,fantasy,Yes
Parable of the Sower,Octavia E. Butler,"",9780446675505,paperback,to-read,2019/05/27,"","",0,"",,,,,,,,,"",,fantasy,No
"Korean Art from 1953: Collision, Innovation and Interaction","Sunjung Kim, Keith B. Wagner, Shim Chung Yeon, Kimberly Chung","",,,to-read,2022/09/14,"","",0,"",,,,,,,,,"",,"",No
Harry Potter and the Goblet of Fire,J.K. Rowling,Mary GrandPré (Illustrator),9780439139601,paperback,to-read,2016/05/20,"","",0,"",,,,,,,,,"",,fantasy,No
Vicious,V.E. Schwab,"",9780765335340,hardcover,to-read,2018/06/02,"","",0,"",,,,,,,,,"",,fantasy,No
